Topic,n_documents,Top Words
0,13,"family, can, women, men, our, hard, they, believe, when, you"
1,1,"black, higher, when, femme, women, based, internal, color, respected, paid"
2,1,"work, nothing, physical, connection, desire, stronger, gain, muscle, exude, mystical"
3,1,"mujer, side, american, towards, fashion, sort, lean, clothes, child, vice"
4,1,"lesbian, butch, role, stemme, presentation, influences, word, prefer, perceive, found"
5,1,"spirit, answer, aspects, sports, future, choice, options, below, odd, dual"
6,3,"pronouns, they, use, she, her, he, them, binary, him, social"
7,386,"female, male, woman, born, identify, man, never, felt, cis, cisgender"
8,31,"life, gender, identity, had, any, influences, due, their, work, milestones"
9,0,"strict, ways, men, defined, meant, supposed, some, story, box, loose"
10,0,"gay, color, early, towards, internal, guy, stuck, alter, esteem, factors"
11,61,"gender, identity, expectations, life, roles, experiences, societal, world, shaped, masculinity"
12,0,"feminine, wear, makeup, dress, wearing, typically, clothing, present, ovaries, use"
13,0,"you, your, should, yourself, crap, nt, god, new, here, finding"
14,5,"did, felt, grew, growing, age, life, boy, years, started, never"
15,0,"made, childhood, contexts, extreme, frilly, confident, detach, girlhood, engrained, labelless"
16,0,"enough, sexual, long, hair, get, old, choices, stay, desire, home"
17,0,"going, answer, alone, form, short, case, falls, course, acknowledgment, picking"
18,0,"gender, female, male, woman, identity, identify, feel, born, man, like"
19,1,"things, relationships, doing, subculture, revisiting, compensate, displays, overt, flaunt, cars"
20,0,"work, prefer, girls, birthday, reject, colored, types, requires, party, normative"
21,0,"ethnicity, mix, guys, better, inside, wish, out, lead, labor, surgeries"
22,0,"gender, female, male, woman, identity, identify, feel, born, man, like"
23,19,"gender, birth, assigned, identity, sex, female, male, cisgender, there, meaning"
24,0,"masculinity, exposure, instinct, yang, yin, depictions, dichotomous, intent, exists, deconstruction"
25,0,"context, functioned, inconsistent, usa, laziness, pure, division, ingrained, disturbed, keenly"
26,479,"gender, feel, like, identity, man, think, binary, non, identify, masculine"
27,0,"job, running, accepted, knowing, fall, far, surveys, actual, ignorant, underestimated"
28,0,"surgery, socially, years, hrt, transitioned, testosterone, forced, traditionally, top, friends"
29,1,"menopause, wanted, menstrual, truly, intelligence, ’ve, inclined, interest, cycle, gone"
30,0,"people, any, independent, latinx, stood, customers, annoyed, abyss, slur, apatheticness"
31,0,"gender, female, male, woman, identity, identify, feel, born, man, like"
