Topic,n_documents,Top Words
0,0,"appearance, someone, system, colonizers, hospitable, advantage, colonized, history--, unequitable, unequal"
1,0,"disorder, american, white, family, race, english, ethnicity, black, speak, culture"
2,0,"bengali, bangladeshi, iceland, confirmed, geneology, icelandic, icelantic, varieties, organizing, seniors"
3,31,"side, mother, father, dad, mom, hispanic, italian, half, puerto, rican"
4,5,"christmas, holidays, celebrate, thanksgiving, new, year, lunar, chinese, easter, vietnamese"
5,28,"black, african, american, africa, race, experiences, community, americans, skin, caribbean"
6,0,"american, white, family, race, english, ethnicity, black, speak, culture, born"
7,0,"custom, events, holiday, gender, fluently, siblings, iran, persian, east, late"
8,0,"spirituality, lao, belgian, saxon, financially, expanding, style, fufu, eats, appointments"
9,229,"family, our, speak, english, food, language, traditions, all, like, people"
10,0,"filipinos, ashanti, ghanian, love, occasions, church, special, tone, away, called"
11,1,"when, freedom, obviously, throughout, factor, ’re, multicolored, persevere, scraps, creative"
12,0,"jewish, ashkenazi, arab, complex, argentinean, judaism, since, jews, religiously, yiddish"
13,0,"slavic, west, thing, russian, negro, stay, ukrainian, burritos, gather, celebration"
14,2,"middle, eastern, arabic, arab, lebanese, east, greek, egyptian, polish, albanian"
15,209,"white, culture, race, feel, american, any, people, really, they, traditions"
16,0,"everyday, university, easier, ones, your, day, know, taught, activities, reason"
17,1,"respect, choctaw, tongan, saved, marriage, till, females, subjects, ebb, natural"
18,1,"another, each, vehicle, humans, major, light, darker, fair, backgrounds, together"
19,110,"describe, race, white, american, ethnicity, hispanic, mexican, mixed, identify, asian"
20,1,"music, temple, scottish, playing, event, air, burning, incense, smell, praying"
21,1,"loves, dividing, drawl, fields, dogs, hot, blue, rhythm, teaching, tense"
22,0,"guess, instead, days, adopted, racist, mine, overly, closed, automatically, upper"
23,44,"cultural, heritage, traditions, identity, history, black, ethnicity, experiences, shaped, community"
24,195,"white, american, european, caucasian, english, irish, german, heritage, family, ancestry"
25,0,"japanese, osage, world, without, de, macrolevel, rituals, power, multiethnic, richness"
26,1,"asian, korean, chinese, mandarin, japanese, china, culturally, though, taiwanese, group"
27,0,"vietnamese, then, heard, eyes, fish, sauce, guest, hills, ozarks, rap"
28,2,"native, tribe, indigenous, tribal, land, away, tribes, cherokee, ancestors, indian"
29,1,"children, woman, now, her, having, stories, carry, feel, bilingual, conservative"
30,1,"dutch, hard, christmas, matter, ordeal, yourself, rely, trusted, geographic, bahamian"
31,141,"born, american, raised, grew, states, speak, parents, mexican, were, united"
