Topic,n_documents,Top Words
0,339,"asexual, feel, like, really, sexual, attraction, think, if, 've, can"
1,1,"christian, rainbow, expressing, focusing, sunglasses, pins, covered, telling, human, simultaneously"
2,0,"sexual, attracted, straight, heterosexual, orientation, men, women, people, like, bisexual"
3,1,"no, back, problem, 're, hope, nowadays, fits, effeminate, discoveries, sit"
4,0,"sexuality, trauma, intimacy, getting, beyond, must, last, labels, kept, earlier"
5,0,"sexual, attracted, straight, heterosexual, orientation, men, women, people, like, bisexual"
6,2,"should, getting, go, still, biologically, feel, milestone, seem, control, bionery"
7,0,"many, penis, loved, child, job, him, bring, attempts, failed, draining"
8,0,"could, conform, leads, nuanced, lover, exf3pt, serial, disgust, vaginas, blanket"
9,0,"here, gender/, worry, panromatic, hypersexual, ol', thnere, rampant, provided, disadvantages"
10,0,"these, may, coming, disgusted, extremely, platform, digital, irl, attachment, ban"
11,54,"sex, opposite, any, sexual, same, relationships, heterosexual, no, romantic, had"
12,0,"sexual, attracted, straight, heterosexual, orientation, men, women, people, like, bisexual"
13,0,"'ll, order, writing, logical, proactively, everybody, erotica, het, surgery, convenience"
14,1,"several, an, simply, medication, stop, lasted, ocd, bout, seduce, trip"
15,0,"sexual, attracted, straight, heterosexual, orientation, men, women, people, like, bisexual"
16,0,"identified, future, decided, late, affirmative, impacts, excites, stake, crosses, brotherhood"
17,0,"sexual, attracted, straight, heterosexual, orientation, men, women, people, like, bisexual"
18,1,"aroace, slightly, identity, repulsed, biologically, gray, clear, neutral, became, changes"
19,115,"attracted, people, bisexual, gender, queer, pansexual, identify, men, genders, gay"
20,334,"straight, heterosexual, attracted, men, women, woman, man, like, male, female"
21,0,"causes, soon, its, mainly, change, marry, structure, aegosexual, imagining, disappears"
22,0,"instead, transmen, edging, casual, phases, perfectly, bones, arts, literature, history"
23,1,"culture, touch, teen, dating, social, brings, media, participate, admire, skirt"
24,58,"orientation, sexual, life, straight, describe, influence, influences, due, any, many"
25,1,"our, however, room, aka, expression, conservative, ciswomen, unlikely, research, richness"
26,0,"every, general, seen, choose, doors, opened, prerogative, connecting, sexy, ingle"
27,63,"sexual, orientation, relationships, experiences, romantic, identify, others, identity, life, attraction"
28,2,"ace, spectrum, world, n’t, off, guys, turned, increased, relating, conversation"
29,0,"toward, hot, practice, closest, honestly, heard, intercourse, recognized, referred, notes"
30,0,"tendencies, roles, implications, equal, criticism, consist, traditionally, living, curiosity, follow"
31,31,"had, did, gay, out, years, thought, never, bisexual, felt, realized"
